EmpIoyee_ID,FirstName,LastName,HireDate,TerminationDate,ADEmail,EmployeeStatus,EmployeeType,EmployeeClassificationType,DepartmentType,DOB,State,JobFunctionDescription,GenderCode,Performance Score,Current Employee Rating
1001,Uriah,Bridges,2019-09-20,NA,uriah.bridges@bilearner.com,Active,Contract,Temporary,Production       ,07-10-1969,MA,Accounting,Female,Fully Meets,4
1002,Paula,Small,2023-02-11,NA,paula.small@bilearner.com,Active,Contract,Part-Time,Production       ,30-08-1965,MA,Labor,Male,Fully Meets,3
1003,Edward,Buck,2018-12-10,NA,edward.buck@bilearner.com,Active,Full-Time,Part-Time,Sales,06-10-1991,MA,Assistant,Male,Fully Meets,4
1004,Michael,Riordan,2021-06-21,NA,michael.riordan@bilearner.com,Active,Contract,Full-Time,Sales,04-04-1998,ND,Clerk,Male,Fully Meets,2
1005,Jasmine,Onque,2019-06-29,NA,jasmine.onque@bilearner.com,Active,Contract,Temporary,Sales,29-08-1969,FL,Laborer,Female,Fully Meets,3
1006,Maruk,Fraval,2020-01-17,NA,maruk.fraval@bilearner.com,Active,Contract,Full-Time,Sales,03-04-1949,CT,Driver,Male,Fully Meets,3
1007,Latia,Costa,2022-04-06,2023-07-03,latia.costa@bilearner.com,Terminated,Full-Time,Temporary,Sales,01-07-1942,CA,Technician,Female,Exceeds,4
1008,Sharlene,Terry,2020-11-06,2023-01-29,sharlene.terry@bilearner.com,Terminated,Contract,Full-Time,Sales,07-03-1957,OR,Engineer,Female,Fully Meets,2
1009,Jac,McKinzie,2018-08-18,NA,jac.mckinzie@bilearner.com,Active,Contract,Part-Time,Sales,15-05-1974,TX,Executive Assistant,Male,Exceeds,3
1010,Joseph,Martins,2022-01-21,2023-06-29,joseph.martins@bilearner.com,Terminated,Part-Time,Temporary,Sales,11-11-1949,TX,Engineer,Male,Fully Meets,5
1011,Myriam,Givens,2023-08-04,NA,myriam.givens@bilearner.com,Active,Contract,Temporary,Sales,26-01-1964,IN,Technician,Female,Fully Meets,5
1012,Dheepa,Nguyen,2018-08-10,2019-11-04,dheepa.nguyen@bilearner.com,Terminated,Full-Time,Temporary,Sales,06-04-1948,GA,Technician,Female,Fully Meets,3
1013,Bartholemew,Khemmich,2022-05-25,2022-11-27,bartholemew.khemmich@bilearner.com,Terminated,Full-Time,Temporary,Sales,24-11-1981,CO,Splicer,Male,Fully Meets,3
1014,Xana,Potts,2019-12-05,2023-02-17,xana.potts@bilearner.com,Terminated,Contract,Full-Time,Sales,06-11-1951,KY,Controller,Female,Fully Meets,3
1015,Prater,Jeremy,2019-04-28,NA,prater.jeremy@bilearner.com,Active,Part-Time,Part-Time,Sales,21-11-1989,NV,Lineman,Male,Exceeds,4
1016,Kaylah,Moon,2019-07-09,2022-06-16,kaylah.moon@bilearner.com,Terminated,Full-Time,Full-Time,IT/IS,24-11-1952,MA,Laborer,Male,Exceeds,2
1017,Kristen,Tate,2021-04-05,2023-05-12,kristen.tate@bilearner.com,Terminated,Full-Time,Part-Time,IT/IS,08-04-1994,KY,Coordinator,Male,Fully Meets,3
1018,Bobby,Rodgers,2021-11-28,2022-02-04,bobby.rodgers@bilearner.com,Terminated,Contract,Part-Time,Sales,15-11-1983,KY,Director,Male,Fully Meets,3
1019,Reid,Park,2021-01-16,NA,reid.park@bilearner.com,Active,Contract,Full-Time,Sales,07-12-1985,KY,Supervisor,Female,Exceeds,4
1020,Hector,Dalton,2021-08-24,NA,hector.dalton@bilearner.com,Active,Part-Time,Part-Time,Sales,01-05-1996,TX,Driller,Female,Exceeds,2
1021,Mariela,Schultz,2020-05-26,2023-06-18,mariela.schultz@bilearner.com,Terminated,Part-Time,Part-Time,Sales,17-02-1964,TX,Technician,Female,Fully Meets,3
1022,Angela,Molina,2019-10-01,2020-11-06,angela.molina@bilearner.com,Terminated,Full-Time,Temporary,Sales,12-05-1958,TX,Specialist,Male,Fully Meets,3
1023,Gerald,Preston,2023-05-10,2023-05-27,gerald.preston@bilearner.com,Terminated,Contract,Temporary,Sales,18-09-1992,CO,Technician,Male,Fully Meets,5
1024,Reilly,Moyer,2020-09-01,2022-12-04,reilly.moyer@bilearner.com,Terminated,Contract,Temporary,Sales,11-08-1994,CO,Operator,Male,Exceeds,2
1025,Carlee,French,2021-02-18,2022-11-11,carlee.french@bilearner.com,Terminated,Contract,Full-Time,Sales,15-01-1968,CO,Technician,Male,Exceeds,3
1026,Jaydon,Blackburn,2022-11-08,NA,jaydon.blackburn@bilearner.com,Active,Part-Time,Part-Time,Sales,07-01-1947,IN,Foreman,Male,Fully Meets,2
1027,Bridger,Carter,2022-10-13,NA,bridger.carter@bilearner.com,Active,Contract,Part-Time,Sales,07-04-1982,MA,Engineer,Male,Fully Meets,4
1028,Leon,Beard,2022-09-11,NA,leon.beard@bilearner.com,Active,Full-Time,Full-Time,IT/IS,29-01-1970,KY,Foreman,Male,Needs Improvement,4
1029,Charity,Miranda,2021-06-29,2022-07-05,charity.miranda@bilearner.com,Terminated,Full-Time,Temporary,Sales,18-01-1999,KY,Manager,Male,Exceeds,4
1030,Axel,Howe,2023-03-06,NA,axel.howe@bilearner.com,Active,Full-Time,Temporary,Sales,25-09-1946,KY,Technician,Female,Fully Meets,3
1031,Milton,Wall,2020-09-25,NA,milton.wall@bilearner.com,Active,Full-Time,Temporary,Sales,23-08-1947,KY,Technician,Female,Needs Improvement,3
1032,Cory,Robinson,2022-04-28,2023-05-24,cory.robinson@bilearner.com,Terminated,Contract,Full-Time,Sales,12-08-1996,TX,Laborer,Female,Needs Improvement,3
1033,Saniya,Yu,2021-04-18,2022-06-21,saniya.yu@bilearner.com,Terminated,Part-Time,Full-Time,Sales,09-02-1944,TX,Splicer,Male,Exceeds,2
1034,Alisa,James,2020-02-19,NA,alisa.james@bilearner.com,Active,Full-Time,Full-Time,Sales,10-02-1944,TX,Lineman,Male,Fully Meets,3
1035,Lincoln,Compton,2019-07-18,2021-10-01,lincoln.compton@bilearner.com,Terminated,Full-Time,Part-Time,Sales,29-12-1997,CO,Foreman,Male,Needs Improvement,1
1036,Aliana,Nolan,2018-09-13,2021-09-17,aliana.nolan@bilearner.com,Terminated,Contract,Full-Time,Sales,09-08-1942,CO,Coordinator,Male,Needs Improvement,3
1037,Kayden,Dodson,2020-04-30,2021-07-18,kayden.dodson@bilearner.com,Terminated,Part-Time,Temporary,Sales,21-06-1951,IN,Tower Hand,Male,Fully Meets,1
1038,James,Duke,2018-12-03,2022-09-09,james.duke@bilearner.com,Terminated,Contract,Full-Time,Sales,17-06-1998,MA,Mechanic,Male,Needs Improvement,5
1039,Willow,Stuart,2021-11-08,NA,willow.stuart@bilearner.com,Active,Full-Time,Full-Time,Sales,07-01-1962,MA,Flagger,Male,Needs Improvement,3
1040,Clayton,Walker,2022-04-13,2023-04-10,clayton.walker@bilearner.com,Terminated,Part-Time,Full-Time,IT/IS,26-01-1979,KY,Supervisor,Male,Exceeds,4
1041,Celia,Curtis,2020-05-06,NA,celia.curtis@bilearner.com,Active,Contract,Part-Time,Sales,14-05-1987,KY,Engineer,Female,Exceeds,1
1042,Valentin,Reilly,2019-09-09,NA,valentin.reilly@bilearner.com,Active,Contract,Temporary,Sales,26-04-1998,KY,Foreman,Female,Fully Meets,4
1043,Ryland,Shepherd,2020-07-29,2023-01-05,ryland.shepherd@bilearner.com,Terminated,Contract,Full-Time,Sales,21-02-1945,TX,Driver,Female,Needs Improvement,3
1044,Esteban,Gilbert,2018-11-14,2019-10-28,esteban.gilbert@bilearner.com,Terminated,Contract,Part-Time,Sales,31-05-1997,TX,Technician,Female,Needs Improvement,3
1045,Jonathan,Adkins,2020-02-29,NA,jonathan.adkins@bilearner.com,Active,Part-Time,Temporary,Sales,03-01-1967,TX,Foreman,Male,Fully Meets,4
1046,Nevaeh,Soto,2023-01-15,NA,nevaeh.soto@bilearner.com,Active,Contract,Full-Time,Sales,12-01-1982,TX,Director,Male,Exceeds,4
1047,Chaim,Mata,2023-06-29,NA,chaim.mata@bilearner.com,Active,Part-Time,Temporary,Sales,01-10-1950,CO,Manager,Male,Exceeds,2
1048,Arely,Patton,2020-03-09,NA,arely.patton@bilearner.com,Active,Full-Time,Temporary,Sales,16-12-1965,CO,Laborer,Male,Fully Meets,2
1049,Vance,Trujillo,2021-09-21,2023-04-13,vance.trujillo@bilearner.com,Terminated,Full-Time,Temporary,Sales,25-12-1957,IN,Foreman,Male,Fully Meets,2
1050,Charlie,Koch,2023-06-12,2023-07-06,charlie.koch@bilearner.com,Terminated,Part-Time,Temporary,Sales,20-06-1945,MA,Engineer,Male,Needs Improvement,2
1051,Sonny,Horne,2019-04-07,NA,sonny.horne@bilearner.com,Active,Part-Time,Full-Time,IT/IS,03-12-1969,KY,Laborer,Female,Needs Improvement,2
1052,Thomas,Chandler,2018-09-17,2019-01-09,thomas.chandler@bilearner.com,Terminated,Full-Time,Temporary,Sales,10-10-1957,KY,Groundman,Female,Fully Meets,2
1053,Sarai,Stone,2022-08-02,2023-04-02,sarai.stone@bilearner.com,Terminated,Contract,Part-Time,Sales,17-05-1962,TX,Technician,Female,Fully Meets,2
1054,Jerimiah,Harmon,2022-09-08,2022-10-16,jerimiah.harmon@bilearner.com,Terminated,Full-Time,Temporary,Sales,09-08-1946,TX,Supervisor,Female,Fully Meets,1
1055,Leland,Allen,2019-03-07,2021-05-31,leland.allen@bilearner.com,Terminated,Full-Time,Part-Time,Sales,11-12-1965,TX,Splicer,Male,Fully Meets,4
1056,Cristal,Bolton,2019-10-29,2021-02-07,cristal.bolton@bilearner.com,Terminated,Full-Time,Temporary,Sales,11-02-1990,TX,Lineman,Male,Needs Improvement,2
1057,Jaslene,Harding,2021-09-26,NA,jaslene.harding@bilearner.com,Active,Part-Time,Temporary,Sales,19-06-1964,CO,Coordinator,Male,Fully Meets,1
1058,Albert,Gonzalez,2018-08-29,NA,albert.gonzalez@bilearner.com,Active,Part-Time,Full-Time,Sales,18-07-1995,CO,Model Assistant,Male,Fully Meets,4
1059,Jaiden,Johnson,2021-10-26,NA,jaiden.johnson@bilearner.com,Active,Contract,Full-Time,Sales,22-08-1994,CO,Laborer,Male,Fully Meets,5
1060,Brendon,Mcconnell,2022-10-31,2023-06-08,brendon.mcconnell@bilearner.com,Terminated,Part-Time,Temporary,Sales,14-11-1990,IN,Engineer,Male,Fully Meets,4
1061,Kimora,Parsons,2023-03-15,NA,kimora.parsons@bilearner.com,Active,Contract,Part-Time,Sales,01-02-1994,KY,Administrator,Female,Fully Meets,4
1062,Willie,Patterson,2022-09-09,NA,willie.patterson@bilearner.com,Active,Contract,Full-Time,Sales,12-11-1997,KY,Lineman,Female,Fully Meets,2
1063,Devyn,Powers,2022-03-04,NA,devyn.powers@bilearner.com,Active,Part-Time,Temporary,Sales,02-05-1953,TX,Laborer,Female,Fully Meets,2
1064,Weston,Preston,2019-02-11,NA,weston.preston@bilearner.com,Active,Part-Time,Part-Time,Sales,10-07-1991,TX,Director,Female,Fully Meets,2
1065,Lennon,Buchanan,2021-01-26,NA,lennon.buchanan@bilearner.com,Active,Contract,Full-Time,Sales,02-06-1973,TX,Driver,Male,Fully Meets,5
1066,Vicente,Merritt,2019-11-26,NA,vicente.merritt@bilearner.com,Active,Full-Time,Full-Time,Sales,08-01-1993,CO,Clerk,Male,Fully Meets,1
1067,Hugo,Clay,2019-07-15,NA,hugo.clay@bilearner.com,Active,Full-Time,Full-Time,Sales,17-04-1984,CO,Project Manager,Male,Fully Meets,5
1068,Cohen,Raymond,2020-06-18,NA,cohen.raymond@bilearner.com,Active,Contract,Full-Time,Sales,08-02-1994,CO,Technician,Male,Fully Meets,4
1069,Tia,Ellis,2023-06-22,2023-07-22,tia.ellis@bilearner.com,Terminated,Part-Time,Temporary,Sales,27-01-1993,IN,Laborer,Male,Fully Meets,4
1070,Aspen,Bentley,2021-12-02,NA,aspen.bentley@bilearner.com,Active,Contract,Part-Time,Sales,19-09-1964,CA,Administrator,Male,Fully Meets,5
1071,Graham,Rodriguez,2021-12-08,NA,graham.rodriguez@bilearner.com,Active,Part-Time,Temporary,Sales,18-02-1981,OR,Lineman,Female,Fully Meets,1
1072,Joel,Mcmillan,2023-04-26,2023-06-22,joel.mcmillan@bilearner.com,Terminated,Full-Time,Full-Time,Sales,17-10-1998,KY,Laborer,Female,Fully Meets,2
1073,Maci,Frost,2018-09-25,2021-12-20,maci.frost@bilearner.com,Terminated,Part-Time,Temporary,Sales,16-01-1971,KY,Technician,Female,Fully Meets,5
1074,Nevaeh,Lucas,2018-11-20,2020-06-21,nevaeh.lucas@bilearner.com,Terminated,Full-Time,Part-Time,Sales,25-02-2000,TX,Mechanic,Female,Fully Meets,1
1075,Garrett,Zimmerman,2020-08-30,2022-08-30,garrett.zimmerman@bilearner.com,Terminated,Part-Time,Part-Time,Sales,19-04-1959,TX,Technician,Male,Fully Meets,4
1076,Eugene,Marks,2019-10-01,NA,eugene.marks@bilearner.com,Active,Full-Time,Temporary,Sales,29-06-1976,TX,Electrician,Male,Fully Meets,1
1077,Geovanni,Pugh,2022-01-20,NA,geovanni.pugh@bilearner.com,Active,Part-Time,Temporary,Sales,27-07-1951,CO,Manager,Male,Fully Meets,4
1078,Javon,Kelley,2021-10-10,NA,javon.kelley@bilearner.com,Active,Full-Time,Part-Time,Sales,23-08-1980,CO,Laborer,Male,Fully Meets,2
1079,Amaya,Hicks,2020-08-29,NA,amaya.hicks@bilearner.com,Active,Contract,Temporary,Sales,24-07-1943,IN,Groundman,Male,Fully Meets,1
